id;time;Euler1;Euler2;Euler3;SysCal;GyroCal;AccCal;MagCal;Max;;;
1;18.26.41;149,38;0;-2,62;3;3;3;3;Euler1;Euler2;Euler3;
2;18.27.41;149,38;0;-2,62;3;3;3;3;149,38;0;-2,62;
3;18.28.41;149,38;0;-2,62;3;3;3;3;Min;;;
4;18.29.41;149,38;0;-2,62;3;3;3;3;147,75;-0,38;-3,25;
5;18.30.41;149,38;0;-2,62;3;3;3;3;Difference;;;
6;18.31.41;149,38;0;-2,62;3;3;3;3;1,63;0,38;0,63;
7;18.32.41;149,38;0;-2,62;3;3;3;3;Std;;;
8;18.33.41;149,38;0;-2,62;3;3;3;3;0,427402014;0,063434725;0,107210775;
9;18.34.41;149,38;0;-2,62;3;3;3;3;;;;
10;18.35.41;149,38;0;-2,62;3;3;3;3;;;;
11;18.36.41;149,38;0;-2,62;3;3;3;3;;;;
12;18.37.42;149,38;-0,12;-2,81;3;3;3;3;;;;
13;18.38.42;149,38;-0,12;-2,81;3;3;3;3;;;;
14;18.39.42;149,38;-0,12;-2,81;3;3;3;3;;;;
15;18.40.41;149,38;-0,12;-2,81;3;3;3;3;;;;
16;18.41.41;149,38;-0,12;-2,81;3;3;3;3;Max;;;
17;18.42.42;149,38;-0,12;-2,81;3;3;3;3;SysCal;GyroCal;AccCal;MagCal
18;18.43.42;149,38;-0,12;-2,81;3;3;3;3;3;3;3;3
19;18.44.41;149,38;-0,12;-2,81;3;3;3;3;Min;;;
20;18.45.42;149,38;-0,12;-2,81;3;3;3;3;3;3;3;3
21;18.46.42;149,38;-0,12;-2,81;3;3;3;3;;;;
22;18.47.41;149,38;-0,12;-2,81;3;3;3;3;;;;
23;18.48.41;149,38;-0,19;-2,94;3;3;3;3;;;;
24;18.49.42;149,38;-0,19;-2,94;3;3;3;3;;;;
25;18.50.42;149,38;-0,19;-2,94;3;3;3;3;;;;
26;18.51.42;149,38;-0,19;-2,94;3;3;3;3;;;;
27;18.52.42;149,38;-0,19;-2,94;3;3;3;3;;;;
28;18.53.42;149,38;-0,19;-2,94;3;3;3;3;;;;
29;18.54.42;149,38;-0,19;-2,94;3;3;3;3;;;;
30;18.55.42;149,38;-0,19;-2,94;3;3;3;3;;;;
31;18.56.42;149,38;-0,19;-2,94;3;3;3;3;;;;
32;18.57.42;149,38;-0,19;-2,94;3;3;3;3;;;;
33;18.58.42;149,38;-0,19;-2,94;3;3;3;3;;;;
34;18.59.42;149,38;-0,25;-3;3;3;3;3;;;;
35;19.00.42;149,38;-0,25;-3;3;3;3;3;;;;
36;19.01.42;149,38;-0,25;-3;3;3;3;3;;;;
37;19.02.42;149,38;-0,25;-3;3;3;3;3;;;;
38;19.03.42;149,38;-0,25;-3;3;3;3;3;;;;
39;19.04.42;149,38;-0,25;-3;3;3;3;3;;;;
40;19.05.42;149,38;-0,25;-3;3;3;3;3;;;;
41;19.06.42;149,38;-0,25;-3;3;3;3;3;;;;
42;19.07.42;149,38;-0,25;-3;3;3;3;3;;;;
43;19.08.42;149,38;-0,25;-3;3;3;3;3;;;;
44;19.09.42;149,38;-0,25;-3;3;3;3;3;;;;
45;19.10.42;149,38;-0,25;-3,06;3;3;3;3;;;;
46;19.11.42;149,38;-0,25;-3,06;3;3;3;3;;;;
47;19.12.42;149,38;-0,25;-3,06;3;3;3;3;;;;
48;19.13.42;149,38;-0,25;-3,06;3;3;3;3;;;;
49;19.14.42;149,38;-0,25;-3,06;3;3;3;3;;;;
50;19.15.42;149,38;-0,25;-3,06;3;3;3;3;;;;
51;19.16.42;149,38;-0,25;-3,06;3;3;3;3;;;;
52;19.17.42;149,38;-0,25;-3,06;3;3;3;3;;;;
53;19.18.42;149,38;-0,25;-3,06;3;3;3;3;;;;
54;19.19.42;149,38;-0,25;-3,06;3;3;3;3;;;;
55;19.20.42;149,38;-0,25;-3,06;3;3;3;3;;;;
56;19.21.42;148,94;-0,31;-3,06;3;3;3;3;;;;
57;19.22.42;148,94;-0,31;-3,06;3;3;3;3;;;;
58;19.23.42;148,94;-0,31;-3,06;3;3;3;3;;;;
59;19.24.42;148,94;-0,31;-3,06;3;3;3;3;;;;
60;19.25.42;148,94;-0,31;-3,06;3;3;3;3;;;;
61;19.26.42;148,94;-0,31;-3,06;3;3;3;3;;;;
62;19.27.42;148,94;-0,31;-3,06;3;3;3;3;;;;
63;19.28.42;148,94;-0,31;-3,06;3;3;3;3;;;;
64;19.29.42;148,94;-0,31;-3,06;3;3;3;3;;;;
65;19.30.42;148,94;-0,31;-3,06;3;3;3;3;;;;
66;19.31.42;148,94;-0,31;-3,06;3;3;3;3;;;;
67;19.32.42;148,94;-0,31;-3,06;3;3;3;3;;;;
68;19.33.42;148,94;-0,31;-3,06;3;3;3;3;;;;
69;19.34.42;148,94;-0,31;-3,06;3;3;3;3;;;;
70;19.35.42;148,94;-0,31;-3,06;3;3;3;3;;;;
71;19.36.42;148,94;-0,31;-3,06;3;3;3;3;;;;
72;19.37.42;148,94;-0,31;-3,06;3;3;3;3;;;;
73;19.38.42;148,94;-0,31;-3,06;3;3;3;3;;;;
74;19.39.42;148,94;-0,31;-3,06;3;3;3;3;;;;
75;19.40.42;148,94;-0,31;-3,06;3;3;3;3;;;;
76;19.41.42;148,94;-0,31;-3,06;3;3;3;3;;;;
77;19.42.42;148,94;-0,31;-3,06;3;3;3;3;;;;
78;19.43.42;148,94;-0,31;-3,12;3;3;3;3;;;;
79;19.44.42;148,94;-0,31;-3,12;3;3;3;3;;;;
80;19.45.42;148,94;-0,31;-3,12;3;3;3;3;;;;
81;19.46.42;148,94;-0,31;-3,12;3;3;3;3;;;;
82;19.47.42;148,94;-0,31;-3,12;3;3;3;3;;;;
83;19.48.42;148,94;-0,31;-3,12;3;3;3;3;;;;
84;19.49.42;148,94;-0,31;-3,12;3;3;3;3;;;;
85;19.50.42;148,94;-0,31;-3,12;3;3;3;3;;;;
86;19.51.42;148,94;-0,31;-3,12;3;3;3;3;;;;
87;19.52.42;148,94;-0,31;-3,12;3;3;3;3;;;;
88;19.53.42;148,94;-0,31;-3,12;3;3;3;3;;;;
89;19.54.42;148,94;-0,31;-3,12;3;3;3;3;;;;
90;19.55.42;148,94;-0,31;-3,12;3;3;3;3;;;;
91;19.56.42;148,94;-0,31;-3,12;3;3;3;3;;;;
92;19.57.42;148,94;-0,31;-3,12;3;3;3;3;;;;
93;19.58.42;148,94;-0,31;-3,12;3;3;3;3;;;;
94;19.59.42;148,94;-0,31;-3,12;3;3;3;3;;;;
95;20.00.42;148,94;-0,31;-3,12;3;3;3;3;;;;
96;20.01.42;148,94;-0,31;-3,12;3;3;3;3;;;;
97;20.02.42;148,94;-0,31;-3,12;3;3;3;3;;;;
98;20.03.42;148,94;-0,31;-3,12;3;3;3;3;;;;
