id,time,Euler1,Euler2,Euler2,Quat1,Quat2,Quat3,Quat4,Gyro1,Gyro1,Gyro1
1,14:24:38,5.8125, -0.8125, -2.8125,0.998352, -0.024353, 0.00872803, -0.0510864,-0.01, -0.0422222, 0.0222222
2,14:25:38,5.9375, -3.0625, -4.25,0.99762, -0.0356445, 0.0288696, -0.0516357,0.00111111, -0.00222222, 0.0711111
3,14:26:38,2.625, -7.25, -2.0,0.997559, -0.0160522, 0.0641479, -0.0231323,0.0255556, -0.0466667, -0.0311111
4,14:27:38,8.1875, -13.3125, -1.75,0.99054, -0.00665283, 0.117126, -0.0709839,-0.0188889, -0.0422222, 0.0555556
5,14:28:38,15.5, -17.0625, -2.375,0.979614, -0.000183105, 0.150269, -0.133545,-0.0477778, 0.122222, -0.0244444
6,14:29:38,16.9375, -19.8125, -2.3125,0.974121, 0.00622559, 0.17334, -0.145142,-0.0255556, 0.04, -0.203333
7,14:30:39,19.125, -23.5, -0.8125,0.965271, 0.0270996, 0.202454, -0.163025,-0.0188889, 0.0177778, -0.0466667
8,14:31:39,19.625, -24.0, 1.875,0.963623, 0.0508423, 0.20282, -0.166687,-0.0411111, 0.0888889, 0.0688889
9,14:32:41,19.125, -29.0, 4.6875,0.953613, 0.0782471, 0.241699, -0.161438,0.0166667, 0.0755555, -0.141111
10,14:33:39,19.375, -29.5625, 3.875,0.952454, 0.0731201, 0.246887, -0.162903,0.0566667, 0.0288889, 0.08
11,14:34:39,20.5, -31.625, 7.8125,0.944763, 0.10791, 0.258057, -0.170837,-0.0455555, -0.0333333, 0.0711111
12,14:35:39,19.125, -33.75, 9.125,0.940857, 0.11676, 0.275635, -0.158875,-0.03, -0.00666667, -0.0888889
13,14:36:39,19.125, -36.5625, 15.5,0.92865, 0.165283, 0.292969, -0.156616,-0.0344444, -0.108889, -0.00666667
14,14:37:39,20.375, -37.8125, 13.125,0.925537, 0.151917, 0.304138, -0.166809,0.00333333, -0.02, -0.0577778
15,14:38:39,21.625, -41.9375, 11.8125,0.912903, 0.148132, 0.33783, -0.174805,0.0855556, -0.0733333, -0.0555556
16,14:39:39,289.375, -46.1875, 15.375,0.899902, 0.165955, 0.372742, -0.153748,-0.0366667, -0.102222, 0.0711111
17,14:40:39,291.125, -45.9375, 9.125,0.902771, 0.131287, 0.373169, -0.168762,0.0344444, -0.125556, 0.0244444
18,14:41:39,293.625, -54.875, 9.8125,0.866272, 0.148926, 0.44104, -0.181274,0.00777778, 0.0288889, 0.00222222
19,14:42:39,287.75, -57.3125, 13.125,0.862549, 0.143738, 0.466003, -0.134888,-0.107778, 0.0911111, -0.0155556
20,14:43:39,295.625, -62.125, 12.0,0.831909, 0.171265, 0.492493, -0.189819,0.0766667, 0.0911111, -0.00888889
21,14:44:41,291.5, -64.0, 19.8125,0.825562, 0.186768, 0.508911, -0.156738,-0.0411111, 0.178889, -0.0155556
22,14:45:39,296.937, -66.25, 20.5625,0.80658, 0.211853, 0.516602, -0.194031,0.107778, -0.0511111, -0.0733333
23,14:46:39,296.687, -69.5, 29.5625,0.785095, 0.238037, 0.540161, -0.187439,0.0811111, 0.0644444, -0.174444
24,14:47:39,301.187, -73.875, 19.625,0.764465, 0.219482, 0.567322, -0.213501,0.0455555, 0.104444, 0.0
25,14:48:39,304.0, -77.0, 25.6875,0.741394, 0.244202, 0.582458, -0.226746,0.00111111, -0.0155556, 0.0488889
26,14:49:39,298.125, -72.5625, 43.875,0.75647, 0.278015, 0.560913, -0.18927,-0.0566667, -0.0288889, 0.0666667
27,14:50:39,304.437, -74.4375, 29.3125,0.750549, 0.261536, 0.560669, -0.2323,-0.0633333, -0.0844444, 0.0822222
28,14:51:39,305.625, -75.875, 30.875,0.740295, 0.267456, 0.569214, -0.237549,-0.0766667, 0.00888889, 0.0688889
29,14:52:39,308.0, -77.25, 26.9375,0.73114, 0.266357, 0.575317, -0.251892,0.0588889, 0.0155556, -0.06
30,14:53:39,311.812, -76.0625, 20.3125,0.731323, 0.271179, 0.559937, -0.279541,-0.0588889, 0.0111111, 0.00666667
31,14:54:39,307.875, -74.9375, 49.5625,0.722656, 0.327393, 0.555725, -0.248413,0.0677778, -0.0377778, -0.113333
32,14:55:39,308.687, -77.125, 58.6875,0.704712, 0.336487, 0.573486, -0.247498,-0.0277778, 0.00888889, 0.0711111
33,14:56:39,313.25, -80.125, 58.9375,0.685608, 0.338684, 0.584167, -0.271973,0.0544444, -0.0111111, 0.0133333
34,14:57:39,318.313, -82.6875, 43.5,0.674072, 0.328491, 0.58844, -0.302368,-0.101111, 0.02, 0.172222
35,14:58:39,324.625, -86.8125, 2.4375,0.638916, 0.345215, 0.602905, -0.330261,-0.0233333, 0.0711111, -0.00222222
36,14:59:39,331.0, -87.1875, -177.437,0.603088, 0.335327, 0.630371, -0.355652,-0.107778, -0.00666667, 0.0222222
37,15:00:39,329.25, -82.8125, -173.812,0.575623, 0.361267, 0.656494, -0.327332,-0.0722222, -0.0555556, -0.0755555
38,15:01:39,333.312, -80.125, -161.812,0.550781, 0.364868, 0.669312, -0.339966,0.0611111, 0.0266667, 0.00888889
39,15:02:39,334.75, -76.125, -165.937,0.523926, 0.380005, 0.686768, -0.330872,-0.177778, 0.0, 0.136667
40,15:03:39,345.75, -67.375, -153.0,0.452515, 0.374634, 0.728516, -0.352295,0.01, 0.0155556, -0.0911111
41,15:04:39,343.062, -66.0625, -164.125,0.443665, 0.41217, 0.72467, -0.328857,-0.0455555, 0.104444, 0.0155556
42,15:05:39,345.062, -62.125, -170.25,0.411865, 0.458557, 0.720947, -0.316711,0.0455555, 0.0377778, 0.00666667
43,15:06:39,352.812, -54.3125, -162.563,0.353271, 0.432312, 0.768799, -0.311829,-0.0788889, -0.0266667, 0.0533333
44,15:07:39,349.0, -55.0625, -165.688,0.364441, 0.437378, 0.765381, -0.300171,-0.07, -0.0622222, 0.0422222
45,15:08:39,351.437, -54.1875, -163.375,0.355408, 0.429443, 0.77179, -0.305969,0.0255556, 0.111111, -0.0355556
46,15:09:39,359.062, -48.125, -159.687,0.308411, 0.413696, 0.801025, -0.303528,0.00777778, -0.113333, 0.0622222
47,15:10:39,50.1875, -43.125, -151.437,0.260132, 0.383972, 0.820679, -0.333801,-0.0877778, 0.0355556, -0.0511111
48,15:11:39,53.75, -39.6875, -155.813,0.231812, 0.417419, 0.822571, -0.308899,0.0322222, -0.0444444, 0.0377778
49,15:12:39,57.75, -35.5625, -158.562,0.195374, 0.452698, 0.820801, -0.288513,-0.0122222, 0.0333333, 0.00666667
50,15:13:39,48.3125, -27.0625, -151.75,0.128418, 0.386841, 0.861816, -0.30188,0.0388889, 0.0155556, 0.0
51,15:14:39,46.9375, -16.1875, -151.312,0.0380249, 0.382263, 0.880371, -0.278198,0.0388889, -0.0533333, -0.0133333
52,15:15:39,49.3125, -14.375, -150.938,0.0150757, 0.401733, 0.873047, -0.27594,-0.0544444, 0.08, 0.0844444
53,15:16:39,51.8125, -12.875, -150.563,0.00445557, -0.420288, -0.864868, 0.274414,-0.0366667, 0.0, 0.183333
54,15:17:39,54.375, -11.5625, -148.75,0.0276489, -0.438354, -0.8526, 0.283203,-0.0166667, 0.0, -0.0177778
55,15:18:39,53.5625, -5.1875, -145.437,0.0907593, -0.429993, -0.851746, 0.2854,-0.0877778, -0.0955555, 0.0288889
56,15:19:39,52.5625, -1.9375, -142.375,0.126465, -0.419189, -0.848572, 0.296997,0.0366667, 0.0933333, -0.0422222
57,15:20:39,51.25, 4.375, -135.75,0.199768, -0.400574, -0.834778, 0.320618,0.03, 0.0, 0.0244444
58,15:21:39,50.9375, 8.3125, -137.312,0.225769, -0.399658, -0.839111, 0.29187,0.0344444, 0.0511111, -0.0177778
59,15:22:39,51.875, 13.1875, -136.375,0.270264, -0.404175, -0.830261, 0.272522,0.0166667, -0.0711111, 0.0
60,15:23:39,55.75, 10.3125, -136.875,0.255005, -0.433777, -0.819336, 0.274719,-0.0522222, 0.0422222, 0.04
61,15:24:39,52.6875, 12.375, -131.687,0.284851, -0.403381, -0.813599, 0.306946,0.0566667, 0.132222, -0.0155556
62,15:25:39,53.5625, 10.8125, -131.062,0.276611, -0.408875, -0.80957, 0.317627,0.01, -0.00888889, 0.138889
63,15:26:39,60.0, 9.6875, -128.625,0.295288, -0.44989, -0.778259, 0.323669,-0.0677778, 0.00444444, 0.115556
64,15:27:39,59.4375, 11.5, -127.5,0.312866, -0.443237, -0.77594, 0.321838,0.00111111, 0.0555556, -0.00222222
65,15:28:39,63.1875, 11.125, -128.875,0.314148, -0.470886, -0.765625, 0.305542,-0.0722222, 0.0288889, -0.17
66,15:29:39,71.5625, 9.0625, -126.125,0.333923, -0.520325, -0.721619, 0.311523,0.0655555, 0.1, -0.00444444
67,15:30:39,76.75, 6.8125, -124.812,0.338745, -0.549866, -0.693726, 0.318848,0.0211111, 0.08, 0.0244444
68,15:31:39,79.1875, 9.75, -125.063,0.364014, -0.564148, -0.681885, 0.290283,0.0166667, -0.0755555, 0.0577778
69,15:32:39,80.5625, 14.375, -123.25,0.407593, -0.565857, -0.667603, 0.260803,-0.0633333, -0.0977778, 0.0288889
70,15:33:39,79.3125, 15.75, -123.937,0.409973, -0.559814, -0.674866, 0.251221,-0.101111, -0.0622222, 0.0577778
71,15:34:39,82.1875, 16.4375, -122.5,0.428467, -0.572083, -0.655884, 0.242859,0.0788889, 0.0711111, -0.0577778
72,15:35:39,89.875, 12.625, -122.812,0.419739, -0.617676, -0.61908, 0.24292,-0.0344444, -0.0422222, -0.0533333
73,15:36:39,86.6875, 17.375, -123.937,0.434387, -0.601318, -0.636536, 0.21106,-0.01, 0.0222222, 0.143333
74,15:37:39,88.8125, 16.4375, -118.5,0.463806, -0.597656, -0.609802, 0.236389,-0.0122222, 0.0288889, 0.136667
75,15:38:39,89.375, 14.5, -119.187,0.450256, -0.603882, -0.609436, 0.247253,0.0277778, 0.0822222, 0.1
76,15:39:39,90.5, 16.375, -115.375,0.485046, -0.596497, -0.591248, 0.243591,0.0455555, 0.0222222, -0.0444444
77,15:40:39,90.8125, 17.4375, -113.875,0.499756, -0.593079, -0.584229, 0.239075,0.03, -0.0533333, -0.0111111
78,15:41:39,93.125, 12.9375, -113.312,0.482483, -0.604797, -0.572449, 0.271484,-0.0366667, -0.0644444, -0.02
79,15:42:39,93.1875, 13.5, -105.562,0.529419, -0.576782, -0.545837, 0.298462,0.0433333, -0.0577778, -0.0288889
80,15:43:39,95.625, 17.5, -103.875,0.566406, -0.581177, -0.526184, 0.253967,0.0277778, 0.0244444, 0.117778
81,15:44:39,96.0, 19.5625, -95.0625,0.626465, -0.546814, -0.492371, 0.257019,0.0366667, -0.0177778, 0.00666667
82,15:45:39,103.437, 14.4375, -93.875,0.626099, -0.572937, -0.451843, 0.275024,0.0677778, 0.0955555, -0.0511111
83,15:46:39,102.188, 17.5, -91.125,0.652039, -0.55603, -0.447815, 0.255249,0.0188889, 0.0, 0.158889
84,15:47:39,112.75, 15.8125, -88.5625,0.681274, -0.582092, -0.386719, 0.217896,-0.0722222, -0.0577778, 0.0333333
85,15:48:39,115.812, 16.25, -84.4375,0.711121, -0.571106, -0.357788, 0.200256,-0.0633333, -0.0111111, 0.0
